timestamp,topic,payload_raw,pose_x,pose_y,pose_z,pose_roll,pose_pitch,pose_yaw,j1,j2,j3,j4,j5,j6,linear,angular,gripper_value,event
2026-05-24T09:33:09.071,robot/gripper,g 0.78,,,,,,,,,0.78,gripper_cmd
2026-05-24T09:33:09.554,robot/gripper,g 0.76,,,,,,,,,0.76,gripper_cmd
2026-05-24T09:33:09.556,robot/gripper,g 0.76,,,,,,,,,0.76,gripper_cmd
2026-05-24T09:33:09.616,robot/gripper,g 0.55,,,,,,,,,0.55,gripper_cmd
2026-05-24T09:33:09.737,robot/gripper,g 0.45,,,,,,,,,0.45,gripper_cmd
2026-05-24T09:33:09.738,robot/gripper,g 0.42,,,,,,,,,0.42,gripper_cmd
2026-05-24T09:33:09.843,robot/gripper,g 0.38,,,,,,,,,0.38,gripper_cmd
2026-05-24T09:33:09.844,robot/gripper,g 0.28,,,,,,,,,0.28,gripper_cmd
2026-05-24T09:33:09.952,robot/gripper,g 0.17,,,,,,,,,0.17,gripper_cmd
2026-05-24T09:33:10.019,robot/gripper,g 0.15,,,,,,,,,0.15,gripper_cmd
2026-05-24T09:33:10.096,robot/gripper,g 0.03,,,,,,,,,0.03,gripper_cmd
2026-05-24T09:33:10.164,robot/gripper,g 0.24,,,,,,,,,0.24,gripper_cmd
2026-05-24T09:33:10.357,robot/gripper,g 0.24,,,,,,,,,0.24,gripper_cmd
2026-05-24T09:33:10.358,robot/gripper,g 0.24,,,,,,,,,0.24,gripper_cmd
2026-05-24T09:33:10.360,robot/gripper,g 0.37,,,,,,,,,0.37,gripper_cmd
2026-05-24T09:33:10.362,robot/gripper,g 0.43,,,,,,,,,0.43,gripper_cmd
2026-05-24T09:33:10.576,robot/gripper,g 0.43,,,,,,,,,0.43,gripper_cmd
2026-05-24T09:33:10.578,robot/gripper,g 0.49,,,,,,,,,0.49,gripper_cmd
2026-05-24T09:33:10.580,robot/gripper,g 0.78,,,,,,,,,0.78,gripper_cmd
2026-05-24T09:33:10.690,robot/gripper,g 0.87,,,,,,,,,0.87,gripper_cmd
2026-05-24T09:33:10.692,robot/gripper,g 0.87,,,,,,,,,0.87,gripper_cmd
2026-05-24T09:33:11.039,robot/gripper,g 0.87,,,,,,,,,0.87,gripper_cmd
